Player,FromPlayer,Delta,New Total Weariness,Reason
6, 4, 80, 6780, Getting Attacked
4, 6, 80, 7980, Attacking
6, 4, 80, 6860, Getting Attacked
4, 6, 200, 8180, Attacking
6, 4, 80, 6940, Getting Attacked
4, 1, 80, 8030, Attacking
1, 4, 80, 10960, Getting Attacked
4, 1, 80, 8110, Attacking
1, 4, 200, 11160, Getting Attacked
4, 6, 80, 8260, Attacking
6, 4, 200, 7140, Getting Attacked
4, 6, 80, 8340, Attacking
6, 4, 160, 7300, Getting Attacked
4, 6, 80, 8420, Attacking
6, 4, 80, 7380, Getting Attacked
4, 6, 80, 8500, Attacking
6, 4, 80, 7460, Getting Attacked
4, 6, 80, 8580, Attacking
6, 4, 80, 7540, Getting Attacked
5, 4, -50, 520, At War Decay
5, 7, -50, 1048, At War Decay
5, 7, 16, 1064, Attacking
7, 5, 80, 1656, Getting Attacked
6, 2, -50, 2940, At War Decay
6, 4, -50, 7490, At War Decay
6, 4, 40, 7530, Attacking
4, 6, 80, 8660, Getting Attacked
6, 2, 80, 3020, Attacking
2, 6, 60, 4843, Getting Attacked
6, 4, 80, 7610, Attacking
4, 6, 80, 8740, Getting Attacked
6, 4, 80, 7690, Attacking
4, 6, 200, 8940, Getting Attacked
6, 4, 80, 7770, Attacking
4, 6, 80, 9020, Getting Attacked
6, 2, 80, 3100, Attacking
2, 6, 150, 4993, Getting Attacked
6, 4, 80, 7850, Attacking
4, 6, 200, 9220, Getting Attacked
6, 4, 80, 7930, Attacking
4, 6, 80, 9300, Getting Attacked
6, 4, 80, 8010, Attacking
4, 6, 200, 9500, Getting Attacked
7, 5, -50, 1606, At War Decay
1, 4, -50, 11110, At War Decay
2, 6, -50, 4943, At War Decay
2, 6, 30, 4973, Attacking
6, 2, 200, 3300, Getting Attacked
4, 1, -50, 8060, At War Decay
4, 5, -50, 1070, At War Decay
4, 6, -50, 9450, At War Decay
4, 6, 40, 9490, Attacking
6, 4, 200, 8210, Getting Attacked
4, 6, 80, 9570, Attacking
6, 4, 80, 8290, Getting Attacked
4, 6, 80, 9650, Attacking
6, 4, 80, 8370, Getting Attacked
4, 6, 80, 9730, Attacking
6, 4, 80, 8450, Getting Attacked
4, 6, 80, 9810, Attacking
6, 4, 40, 8490, Getting Attacked
4, 6, 80, 9890, Attacking
6, 4, 200, 8690, Getting Attacked
4, 6, 80, 9970, Attacking
6, 4, 80, 8770, Getting Attacked
5, 4, -50, 470, At War Decay
5, 7, -50, 1014, At War Decay
6, 2, -50, 3250, At War Decay
6, 4, -50, 8720, At War Decay
6, 4, 200, 8920, Attacking
4, 6, 40, 10010, Getting Attacked
6, 4, 40, 8960, Attacking
4, 6, 200, 10210, Getting Attacked
6, 4, 40, 9000, Attacking
4, 6, 200, 10410, Getting Attacked
6, 2, 80, 3330, Attacking
2, 6, 60, 5033, Getting Attacked
6, 4, 80, 9080, Attacking
4, 6, 80, 10490, Getting Attacked
6, 4, 80, 9160, Attacking
4, 6, 40, 10530, Getting Attacked
6, 4, 80, 9240, Attacking
4, 6, 80, 10610, Getting Attacked
7, 5, -50, 1556, At War Decay
1, 4, -50, 11060, At War Decay
1, 4, 80, 11140, Attacking
4, 1, 80, 8140, Getting Attacked
1, 4, 80, 11220, Attacking
4, 1, 80, 8220, Getting Attacked
2, 6, -50, 4983, At War Decay
2, 6, 60, 5043, Attacking
6, 2, 40, 3370, Getting Attacked
2, 6, 60, 5103, Attacking
6, 2, 40, 3410, Getting Attacked
2, 6, 60, 5163, Attacking
6, 2, 160, 3570, Getting Attacked
2, 6, 60, 5223, Attacking
6, 2, 80, 3650, Getting Attacked
4, 1, -50, 8170, At War Decay
4, 5, -50, 1020, At War Decay
4, 6, -50, 10560, At War Decay
4, 1, 40, 8210, Attacking
1, 4, 80, 11300, Getting Attacked
4, 6, 40, 10600, Attacking
6, 4, 80, 9320, Getting Attacked
4, 6, 40, 10640, Attacking
6, 4, 80, 9400, Getting Attacked
4, 6, 200, 10840, Attacking
6, 4, 80, 9480, Getting Attacked
4, 6, 200, 11040, Attacking
6, 4, 80, 9560, Getting Attacked
4, 1, 80, 8290, Attacking
1, 4, 80, 11380, Getting Attacked
4, 1, 80, 8370, Attacking
1, 4, 200, 11580, Getting Attacked
5, 4, -50, 420, At War Decay
5, 7, -50, 964, At War Decay
5, 4, 40, 460, Attacking
4, 5, 80, 1100, Getting Attacked
5, 4, 40, 500, Attacking
4, 5, 80, 1180, Getting Attacked
5, 4, 480, 980, Attacking
4, 5, 80, 1260, Getting Attacked
5, 4, 480, 1460, Attacking
4, 5, 80, 1340, Getting Attacked
5, 4, 480, 1940, Attacking
4, 5, 80, 1420, Getting Attacked
5, 4, 40, 1980, Attacking
4, 5, 200, 1620, Getting Attacked
6, 2, -50, 3600, At War Decay
6, 4, -50, 9510, At War Decay
6, 4, 80, 9590, Attacking
4, 6, 40, 11080, Getting Attacked
6, 4, 40, 9630, Attacking
4, 6, 80, 11160, Getting Attacked
6, 4, 40, 9670, Attacking
4, 6, 200, 11360, Getting Attacked
6, 2, 40, 3640, Attacking
2, 6, 60, 5283, Getting Attacked
6, 4, 80, 9750, Attacking
4, 6, 80, 11440, Getting Attacked
6, 2, 80, 3720, Attacking
2, 6, 60, 5343, Getting Attacked
6, 2, 80, 3800, Attacking
2, 6, 60, 5403, Getting Attacked
7, 5, -50, 1506, At War Decay
7, 5, 192, 1698, Attacking
5, 7, 32, 996, Getting Attacked
7, 5, 16, 1714, Attacking
5, 7, 32, 1028, Getting Attacked
1, 4, -50, 11530, At War Decay
2, 6, -50, 5353, At War Decay
2, 6, 60, 5413, Attacking
6, 2, 160, 3960, Getting Attacked
4, 1, -50, 8320, At War Decay
4, 5, -50, 1570, At War Decay
4, 6, -50, 11390, At War Decay
4, 6, 40, 11430, Attacking
6, 4, 80, 9830, Getting Attacked
4, 6, 40, 11470, Attacking
6, 4, 80, 9910, Getting Attacked
4, 6, 40, 11510, Attacking
6, 4, 200, 10110, Getting Attacked
4, 6, 80, 11590, Attacking
6, 4, 80, 10190, Getting Attacked
4, 6, 80, 11670, Attacking
6, 4, 200, 10390, Getting Attacked
4, 6, 80, 11750, Attacking
6, 4, 80, 10470, Getting Attacked
4, 6, 80, 11830, Attacking
6, 4, 80, 10550, Getting Attacked
5, 4, -50, 1930, At War Decay
5, 7, -50, 978, At War Decay
6, 2, -50, 3910, At War Decay
6, 4, -50, 10500, At War Decay
6, 4, 80, 10580, Attacking
4, 6, 40, 11870, Getting Attacked
6, 4, 80, 10660, Attacking
4, 6, 40, 11910, Getting Attacked
6, 4, 80, 10740, Attacking
4, 6, 40, 11950, Getting Attacked
6, 4, 80, 10820, Attacking
4, 6, 40, 11990, Getting Attacked
6, 2, 80, 3990, Attacking
2, 6, 60, 5473, Getting Attacked
6, 2, 80, 4070, Attacking
2, 6, 60, 5533, Getting Attacked
6, 4, 80, 10900, Attacking
4, 6, 200, 12190, Getting Attacked
6, 4, 80, 10980, Attacking
4, 6, 160, 12350, Getting Attacked
6, 2, 80, 4150, Attacking
2, 6, 60, 5593, Getting Attacked
6, 4, 80, 11060, Attacking
4, 6, 80, 12430, Getting Attacked
7, 5, -50, 1664, At War Decay
7, 5, 192, 1856, Attacking
5, 7, 32, 1010, Getting Attacked
7, 5, 192, 2048, Attacking
5, 7, 32, 1042, Getting Attacked
1, 4, -50, 11480, At War Decay
1, 4, 80, 11560, Attacking
4, 1, 80, 8400, Getting Attacked
1, 4, 80, 11640, Attacking
4, 1, 160, 8560, Getting Attacked
2, 6, -50, 5543, At War Decay
2, 6, 60, 5603, Attacking
6, 2, 40, 4190, Getting Attacked
2, 6, 60, 5663, Attacking
6, 2, 40, 4230, Getting Attacked
2, 6, 60, 5723, Attacking
6, 2, 40, 4270, Getting Attacked
2, 6, 60, 5783, Attacking
6, 2, 160, 4430, Getting Attacked
2, 6, 60, 5843, Attacking
6, 2, 80, 4510, Getting Attacked
4, 1, -50, 8510, At War Decay
4, 5, -50, 1520, At War Decay
4, 6, -50, 12380, At War Decay
4, 6, -2000, 10380, We Made Peace
6, 4, -2000, 9060, They Made Peace
10, 6, -2000, 0, We Made Peace
6, 10, -2000, 0, They Made Peace
14, 6, -2000, 0, We Made Peace
6, 14, -2000, 0, They Made Peace
4, 1, 80, 8590, Attacking
1, 4, 80, 11720, Getting Attacked
4, 1, 80, 8670, Attacking
1, 4, 80, 11800, Getting Attacked
4, 5, 80, 1600, Attacking
5, 4, 80, 2010, Getting Attacked
5, 4, -50, 1960, At War Decay
5, 7, -50, 992, At War Decay
5, 7, 16, 1008, Attacking
7, 5, 32, 2080, Getting Attacked
5, 7, 16, 1024, Attacking
7, 5, 80, 2160, Getting Attacked
6, 2, -50, 4460, At War Decay
6, 4, -200, 8860, At Peace Decay
6, 2, 80, 4540, Attacking
2, 6, 60, 5903, Getting Attacked
6, 2, 80, 4620, Attacking
2, 6, 60, 5963, Getting Attacked
6, 2, 80, 4700, Attacking
2, 6, 60, 6023, Getting Attacked
6, 2, 80, 4780, Attacking
2, 6, 60, 6083, Getting Attacked
7, 5, -50, 2110, At War Decay
7, 5, 192, 2302, Attacking
5, 7, 32, 1056, Getting Attacked
1, 4, -50, 11750, At War Decay
1, 4, 80, 11830, Attacking
4, 1, 40, 8710, Getting Attacked
2, 6, -50, 6033, At War Decay
2, 6, 60, 6093, Attacking
6, 2, 200, 4980, Getting Attacked
4, 1, -50, 8660, At War Decay
4, 5, -50, 1550, At War Decay
4, 6, -200, 10180, At Peace Decay
20, 6, -2000, 0, We Made Peace
6, 20, -2000, 0, They Made Peace
4, 1, 40, 8700, Attacking
1, 4, 200, 12030, Getting Attacked
4, 1, 80, 8780, Attacking
1, 4, 200, 12230, Getting Attacked
4, 1, 80, 8860, Attacking
1, 4, 80, 12310, Getting Attacked
4, 1, 40, 8900, Attacking
1, 4, 80, 12390, Getting Attacked
4, 1, 40, 8940, Attacking
1, 4, 200, 12590, Getting Attacked
5, 4, -50, 1910, At War Decay
5, 7, -50, 1006, At War Decay
5, 7, 32, 1038, Attacking
7, 5, 16, 2318, Getting Attacked
5, 7, 192, 1230, Attacking
7, 5, 32, 2350, Getting Attacked
5, 7, 32, 1262, Attacking
7, 5, 64, 2414, Getting Attacked
6, 2, -50, 4930, At War Decay
6, 4, -200, 8660, At Peace Decay
6, 2, 40, 4970, Attacking
2, 6, 150, 6243, Getting Attacked
6, 2, 80, 5050, Attacking
2, 6, 60, 6303, Getting Attacked
6, 2, 80, 5130, Attacking
2, 6, 150, 6453, Getting Attacked
6, 2, 80, 5210, Attacking
2, 6, 60, 6513, Getting Attacked
6, 2, 80, 5290, Attacking
2, 6, 60, 6573, Getting Attacked
7, 5, -50, 2364, At War Decay
7, 5, 16, 2380, Attacking
5, 7, 32, 1294, Getting Attacked
1, 4, -50, 12540, At War Decay
1, 4, -2000, 10540, We Made Peace
4, 1, -2000, 6940, They Made Peace
10, 1, -2000, 0, We Made Peace
1, 10, -2000, 0, They Made Peace
14, 1, -2000, 0, We Made Peace
1, 14, -2000, 0, They Made Peace
20, 1, -2000, 0, We Made Peace
1, 20, -2000, 0, They Made Peace
1, 4, 24, 10564, Attacking
4, 1, 32, 6972, Getting Attacked
1, 4, 24, 10588, Attacking
4, 1, 32, 7004, Getting Attacked
1, 4, 24, 10612, Attacking
4, 1, 32, 7036, Getting Attacked
1, 4, 24, 10636, Attacking
4, 1, 32, 7068, Getting Attacked
1, 4, 24, 10660, Attacking
4, 1, 32, 7100, Getting Attacked
1, 4, 24, 10684, Attacking
4, 1, 32, 7132, Getting Attacked
1, 4, 24, 10708, Attacking
4, 1, 32, 7164, Getting Attacked
1, 4, 24, 10732, Attacking
4, 1, 32, 7196, Getting Attacked
1, 4, 24, 10756, Attacking
4, 1, 32, 7228, Getting Attacked
1, 4, 24, 10780, Attacking
4, 1, 32, 7260, Getting Attacked
1, 4, 24, 10804, Attacking
4, 1, 32, 7292, Getting Attacked
1, 4, 24, 10828, Attacking
4, 1, 32, 7324, Getting Attacked
1, 4, 24, 10852, Attacking
4, 1, 32, 7356, Getting Attacked
1, 4, 24, 10876, Attacking
4, 1, 32, 7388, Getting Attacked
1, 4, 24, 10900, Attacking
4, 1, 32, 7420, Getting Attacked
1, 4, 24, 10924, Attacking
4, 1, 32, 7452, Getting Attacked
1, 4, 24, 10948, Attacking
4, 1, 32, 7484, Getting Attacked
1, 4, 24, 10972, Attacking
4, 1, 32, 7516, Getting Attacked
1, 4, 24, 10996, Attacking
4, 1, 32, 7548, Getting Attacked
1, 4, 24, 11020, Attacking
4, 1, 32, 7580, Getting Attacked
1, 4, 24, 11044, Attacking
4, 1, 32, 7612, Getting Attacked
1, 4, 24, 11068, Attacking
4, 1, 32, 7644, Getting Attacked
1, 4, 24, 11092, Attacking
4, 1, 32, 7676, Getting Attacked
1, 4, 24, 11116, Attacking
4, 1, 32, 7708, Getting Attacked
1, 4, 24, 11140, Attacking
4, 1, 32, 7740, Getting Attacked
1, 4, 24, 11164, Attacking
4, 1, 32, 7772, Getting Attacked
1, 4, 24, 11188, Attacking
4, 1, 32, 7804, Getting Attacked
1, 4, 24, 11212, Attacking
4, 1, 32, 7836, Getting Attacked
2, 6, -50, 6523, At War Decay
2, 6, 60, 6583, Attacking
6, 2, 40, 5330, Getting Attacked
2, 6, 60, 6643, Attacking
6, 2, 40, 5370, Getting Attacked
2, 6, 60, 6703, Attacking
6, 2, 40, 5410, Getting Attacked
2, 6, 60, 6763, Attacking
6, 2, 40, 5450, Getting Attacked
2, 6, 60, 6823, Attacking
6, 2, 40, 5490, Getting Attacked
2, 6, 60, 6883, Attacking
6, 2, 40, 5530, Getting Attacked
2, 6, 60, 6943, Attacking
6, 2, 40, 5570, Getting Attacked
2, 6, 60, 7003, Attacking
6, 2, 160, 5730, Getting Attacked
2, 6, 60, 7063, Attacking
6, 2, 80, 5810, Getting Attacked
4, 1, -200, 7636, At Peace Decay
4, 5, -50, 1500, At War Decay
4, 6, -200, 9980, At Peace Decay
4, 5, -2000, 0, We Made Peace
5, 4, -2000, 0, They Made Peace
10, 5, -2000, 0, We Made Peace
5, 10, -2000, 0, They Made Peace
14, 5, -2000, 0, We Made Peace
5, 14, -2000, 0, They Made Peace
20, 5, -2000, 0, We Made Peace
5, 20, -2000, 0, They Made Peace
5, 7, -50, 1244, At War Decay
5, 7, 16, 1260, Attacking
7, 5, 32, 2412, Getting Attacked
5, 7, 32, 1292, Attacking
7, 5, 16, 2428, Getting Attacked
5, 7, 32, 1324, Attacking
7, 5, 64, 2492, Getting Attacked
6, 2, -50, 5760, At War Decay
6, 4, -200, 8460, At Peace Decay
6, 2, 40, 5800, Attacking
2, 6, 150, 7213, Getting Attacked
6, 2, 40, 5840, Attacking
2, 6, 60, 7273, Getting Attacked
6, 2, 80, 5920, Attacking
2, 6, 150, 7423, Getting Attacked
6, 2, 80, 6000, Attacking
2, 6, 60, 7483, Getting Attacked
7, 5, -50, 2442, At War Decay
7, 5, -2000, 442, We Made Peace
5, 7, -2000, 0, They Made Peace
7, 5, 32, 474, Attacking
5, 7, 32, 32, Getting Attacked
7, 5, 32, 506, Attacking
5, 7, 32, 64, Getting Attacked
7, 5, 32, 538, Attacking
5, 7, 32, 96, Getting Attacked
7, 5, 32, 570, Attacking
5, 7, 32, 128, Getting Attacked
7, 5, 32, 602, Attacking
5, 7, 32, 160, Getting Attacked
7, 5, 32, 634, Attacking
5, 7, 32, 192, Getting Attacked
7, 5, 32, 666, Attacking
5, 7, 32, 224, Getting Attacked
7, 5, 32, 698, Attacking
5, 7, 32, 256, Getting Attacked
7, 5, 32, 730, Attacking
5, 7, 32, 288, Getting Attacked
7, 5, 32, 762, Attacking
5, 7, 32, 320, Getting Attacked
1, 4, -200, 11012, At Peace Decay
2, 6, -50, 7433, At War Decay
2, 6, 60, 7493, Attacking
6, 2, 40, 6040, Getting Attacked
2, 6, 60, 7553, Attacking
6, 2, 40, 6080, Getting Attacked
2, 6, 60, 7613, Attacking
6, 2, 160, 6240, Getting Attacked
2, 6, 60, 7673, Attacking
6, 2, 80, 6320, Getting Attacked
4, 1, -200, 7436, At Peace Decay
4, 6, -200, 9780, At Peace Decay
5, 7, -200, 120, At Peace Decay
6, 2, -50, 6270, At War Decay
6, 4, -200, 8260, At Peace Decay
6, 2, 40, 6310, Attacking
2, 6, 150, 7823, Getting Attacked
6, 2, 80, 6390, Attacking
2, 6, 150, 7973, Getting Attacked
6, 2, 80, 6470, Attacking
2, 6, 60, 8033, Getting Attacked
7, 5, -200, 562, At Peace Decay
1, 4, -200, 10812, At Peace Decay
1, 4, 24, 10836, Attacking
4, 1, 16, 7452, Getting Attacked
1, 4, 24, 10860, Attacking
4, 1, 16, 7468, Getting Attacked
1, 4, 24, 10884, Attacking
4, 1, 16, 7484, Getting Attacked
1, 4, 24, 10908, Attacking
4, 1, 16, 7500, Getting Attacked
1, 4, 24, 10932, Attacking
4, 1, 16, 7516, Getting Attacked
1, 4, 24, 10956, Attacking
4, 1, 16, 7532, Getting Attacked
1, 4, 24, 10980, Attacking
4, 1, 16, 7548, Getting Attacked
1, 4, 24, 11004, Attacking
4, 1, 16, 7564, Getting Attacked
1, 4, 24, 11028, Attacking
4, 1, 16, 7580, Getting Attacked
1, 4, 24, 11052, Attacking
4, 1, 16, 7596, Getting Attacked
2, 6, -50, 7983, At War Decay
2, 6, 60, 8043, Attacking
6, 2, 40, 6510, Getting Attacked
2, 6, 60, 8103, Attacking
6, 2, 40, 6550, Getting Attacked
2, 6, 60, 8163, Attacking
6, 2, 40, 6590, Getting Attacked
2, 6, 60, 8223, Attacking
6, 2, 40, 6630, Getting Attacked
2, 6, 60, 8283, Attacking
6, 2, 160, 6790, Getting Attacked
2, 6, 60, 8343, Attacking
6, 2, 80, 6870, Getting Attacked
2, 6, 60, 8403, Attacking
6, 2, 80, 6950, Getting Attacked
4, 1, -200, 7396, At Peace Decay
4, 6, -200, 9580, At Peace Decay
5, 7, -200, 0, At Peace Decay
6, 2, -50, 6900, At War Decay
6, 4, -200, 8060, At Peace Decay
6, 2, 80, 6980, Attacking
2, 6, 30, 8433, Getting Attacked
7, 5, -200, 362, At Peace Decay
1, 4, -200, 10852, At Peace Decay
2, 6, -50, 8383, At War Decay
4, 1, -200, 7196, At Peace Decay
4, 6, -200, 9380, At Peace Decay
6, 2, -50, 6930, At War Decay
6, 4, -200, 7860, At Peace Decay
6, 2, 80, 7010, Attacking
2, 6, 60, 8443, Getting Attacked
6, 2, 80, 7090, Attacking
2, 6, 60, 8503, Getting Attacked
7, 5, -200, 162, At Peace Decay
